candidate_id,robot,sample_index,sampling_kind,parking_id,span2_mm,span3_mm,span4_mm,span5_mm,factor2,factor3,factor4,factor5,tier1_complete,tier2_complete,tier3_complete,storage_balanced_fraction,pickup_complete,pickup_min_slot_complete,module_complete,module_stress_complete,module_stress_total,module_stress_min_clearance_m,module_stress_min_joint_margin_rad,elapsed_s
orth6r_39bf1ac80cbc_q15_rear_right,orth6r_39bf1ac80cbc,15,sobol,rear_right,306.97978094220156,419.19932747259736,0.0,73.64910126663744,1.0585509687662125,1.0748700704425573,,1.227485021110624,9,15,6,0.47407407407407404,51,5,True,9,9,0.00666666666666671,0.22069628494919713,91.68344326600345
orth6r_39bf1ac80cbc_q15_mid_left,orth6r_39bf1ac80cbc,15,sobol,mid_left,306.97978094220156,419.19932747259736,0.0,73.64910126663744,1.0585509687662125,1.0748700704425573,,1.227485021110624,10,15,7,0.508641975308642,52,6,True,9,9,0.00666666666666671,0.5025969338823983,101.76492006700573
orth6r_39bf1ac80cbc_q16_rear_left,orth6r_39bf1ac80cbc,16,sobol,rear_left,232.56052620708942,342.70975596271455,0.0,50.269050719216466,0.8019328489899635,0.8787429640069604,,0.8378175119869411,1,0,0,0.022222222222222223,10,0,False,0,9,,,162.53130776200123
orth6r_39bf1ac80cbc_q16_rear_center,orth6r_39bf1ac80cbc,16,sobol,rear_center,232.56052620708942,342.70975596271455,0.0,50.269050719216466,0.8019328489899635,0.8787429640069604,,0.8378175119869411,1,5,0,0.08888888888888889,39,4,True,7,9,0.00666666666666671,1.3944401189291966e-13,137.11407137799688
orth6r_39bf1ac80cbc_q16_rear_right,orth6r_39bf1ac80cbc,16,sobol,rear_right,232.56052620708942,342.70975596271455,0.0,50.269050719216466,0.8019328489899635,0.8787429640069604,,0.8378175119869411,2,4,0,0.09777777777777778,44,5,True,8,9,0.00666666666666671,4.1744385725905886e-14,113.0212712920038
orth6r_39bf1ac80cbc_q16_mid_left,orth6r_39bf1ac80cbc,16,sobol,mid_left,232.56052620708942,342.70975596271455,0.0,50.269050719216466,0.8019328489899635,0.8787429640069604,,0.8378175119869411,0,8,0,0.10666666666666667,32,2,True,7,9,0.00666666666666671,7.771561172376096e-14,170.0529020279937
orth6r_ebb9ebb875ae_q00_rear_left,orth6r_ebb9ebb875ae,0,baseline,rear_left,290.0,390.0,0.0,0.0,1.0,1.0,,,1,4,0,0.07555555555555556,34,0,True,8,9,0.00666666666666671,0.012745242889443453,98.34593509099795
orth6r_ebb9ebb875ae_q00_rear_center,orth6r_ebb9ebb875ae,0,baseline,rear_center,290.0,390.0,0.0,0.0,1.0,1.0,,,5,13,4,0.33382716049382716,59,5,True,9,9,0.00666666666666671,0.2772890286015479,86.01324999200006
orth6r_ebb9ebb875ae_q00_rear_right,orth6r_ebb9ebb875ae,0,baseline,rear_right,290.0,390.0,0.0,0.0,1.0,1.0,,,9,17,8,0.5254320987654321,59,5,True,9,9,0.00666666666666671,0.43208572483156193,88.67060438199405
orth6r_ebb9ebb875ae_q00_mid_left,orth6r_ebb9ebb875ae,0,baseline,mid_left,290.0,390.0,0.0,0.0,1.0,1.0,,,6,15,3,0.3703703703703704,58,4,True,9,9,0.00666666666666671,0.3794736320753602,92.79987230000552
orth6r_ebb9ebb875ae_q01_rear_left,orth6r_ebb9ebb875ae,1,sobol,rear_left,220.37192650604993,477.1096069877968,0.0,0.0,0.759903194848448,1.2233579666353762,,,2,8,1,0.1634567901234568,48,1,True,9,9,0.00666666666666671,0.09130084112938519,103.50451766599872
orth6r_ebb9ebb875ae_q01_rear_center,orth6r_ebb9ebb875ae,1,sobol,rear_center,220.37192650604993,477.1096069877968,0.0,0.0,0.759903194848448,1.2233579666353762,,,7,17,8,0.48098765432098767,59,5,True,9,9,0.00666666666666671,0.5292903633482502,87.21602341400285
orth6r_ebb9ebb875ae_q01_rear_right,orth6r_ebb9ebb875ae,1,sobol,rear_right,220.37192650604993,477.1096069877968,0.0,0.0,0.759903194848448,1.2233579666353762,,,9,20,11,0.6024691358024691,46,5,True,9,9,0.00666666666666671,0.7301843387402298,95.11894645199936
orth6r_ebb9ebb875ae_q01_mid_left,orth6r_ebb9ebb875ae,1,sobol,mid_left,220.37192650604993,477.1096069877968,0.0,0.0,0.759903194848448,1.2233579666353762,,,7,17,5,0.44395061728395063,59,5,True,9,9,0.00666666666666671,0.661584859306453,96.08260320900445
orth6r_ebb9ebb875ae_q02_rear_left,orth6r_ebb9ebb875ae,2,sobol,rear_left,330.0118701579049,293.6547868978232,0.0,0.0,1.1379719660617411,0.7529609920457006,,,1,0,0,0.022222222222222223,17,0,False,0,9,,,101.16993471799651
orth6r_ebb9ebb875ae_q02_rear_center,orth6r_ebb9ebb875ae,2,sobol,rear_center,330.0118701579049,293.6547868978232,0.0,0.0,1.1379719660617411,0.7529609920457006,,,2,6,0,0.12444444444444443,52,2,True,8,9,-0.0005828594565244968,0.011797625799919498,94.31590535100258
orth6r_ebb9ebb875ae_q02_rear_right,orth6r_ebb9ebb875ae,2,sobol,rear_right,330.0118701579049,293.6547868978232,0.0,0.0,1.1379719660617411,0.7529609920457006,,,4,11,6,0.30962962962962964,59,5,True,9,9,0.00666666666666671,0.14675659885411552,87.156478719
orth6r_ebb9ebb875ae_q02_mid_left,orth6r_ebb9ebb875ae,2,sobol,mid_left,330.0118701579049,293.6547868978232,0.0,0.0,1.1379719660617411,0.7529609920457006,,,3,9,1,0.19901234567901235,49,3,True,9,9,0.00666666666666671,0.0952081411106267,98.99882339299802
